,sym_1,sym_2,min_trading_qty_symbol_1,min_trading_qty_symbol_2,estimated_trade_qty_symbol_1,estimated_trade_qty_symbol_2,estimated_trade_value_symbol_1,estimated_trade_value_symbol_2,std,each_z_score_revenue,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_returns,win_rate,recent_trade_qty,peak_loss,recent_z_score
12,EOSUSDT,COMPUSDT,0.1,0.001,972.1511482115933,1.4670861799264097,759.2500467532544,104.74995324674566,0.008066140591194872,7.841507837366235,0.02745590949301348,0.0015091132511907412,0.6527788552764768,18,577.0525952572212,1.0,971.0585374798899,-87.80623027750386,2.6737114891473026
14,EOSUSDT,MKRUSDT,0.1,0.001,980.4980801214057,0.09749007485627446,765.7690005748178,98.2504974401534,0.009588420152468226,9.40142755089249,0.03139831781412248,9.942913385837859e-05,0.6688727412449729,16,573.6468782677355,0.9375,979.3866371614134,-110.26039685249837,2.6378802519125615
9,EOSUSDT,XLMUSDT,0.1,1.0,1088.0861877828738,71.92797324648535,851.9714850339902,12.028514966009745,0.009428273271165674,10.258773920997823,0.04764290162972649,0.06610503290465303,0.7549759764784701,15,531.2908123506699,1.0,1089.4391366668222,-112.511219127312,2.637344069007042
24,EOSUSDT,LDOUSDT,0.1,1.0,949.4047932463104,57.57848324794449,742.4345483186148,121.5654516813852,0.00754395031645052,7.162262590450144,0.016524716699634786,0.060646927061602185,0.6357013584311679,16,444.4706796373848,0.9375,949.4490843189232,-87.23324725332195,2.6525681547549906
17,EOSUSDT,SOLUSDT,0.1,1.0,893.7941066418063,6.2015322961526715,698.9469913938925,165.94680271274933,0.007152858738465473,6.393182986081785,0.030132264374578947,0.006938434981914661,0.5785677622918719,17,377.5781001064206,0.9411764705882353,892.6720245112988,-82.61095370040988,2.7072462695286523
15,EOSUSDT,SNXUSDT,0.1,0.1,924.3840044785534,52.30342139258092,721.9439074977502,142.05609250224978,0.008373984708699454,7.740777518469774,0.03593103092947575,0.05658191956933025,0.6117019228005405,14,363.555594128197,0.8571428571428571,923.3960732749265,-78.19901544279462,2.6892848285214286
10,EOSUSDT,ADAUSDT,0.1,1.0,828.4787799139443,662.0575502072,647.0419271127905,215.30111532738144,0.0076825197397613655,6.364804580662289,0.03511643160210466,0.7991243303491361,0.5121647193475574,15,345.437013078944,0.8666666666666667,829.0831868491376,-70.48726958957185,2.9639440241008237
35,ETCUSDT,GMTUSDT,0.01,1.0,44.63123358497578,67.33934322869212,847.9934381145398,16.006561885460115,0.17760750840608472,7.9268421941175164,0.038540824957446644,1.5087941295747775,18.54544709895366,16,333.020358340998,0.9375,44.635845049852364,-53.33994010000351,1.7008674643018868
23,EOSUSDT,INJUSDT,0.1,0.1,731.8038048635639,31.405902098901173,572.270575403307,291.729424596693,0.007284278971918092,5.330663067337309,0.018875639297121678,0.042915740380383004,0.37443920954394483,17,328.9227708286685,0.8823529411764706,731.7240116251177,-84.37646890578145,2.4353618718552474
36,ETCUSDT,APEUSDT,0.01,1.0,44.599699637474124,7.964367811986389,847.3942931120083,16.605706887991623,0.17634449296407234,7.864911418920295,0.04398725394900449,0.17857447195214893,18.55018774320438,16,322.36729802603264,0.9375,44.60389338594933,-60.165409197476365,1.698289029165889
26,ETCUSDT,COMPUSDT,0.01,0.001,40.85995161208576,1.2296329909680184,776.2165007747932,87.78349922520684,0.14230256779618936,5.81447603442785,0.004232836300882788,0.030093843542494836,16.695914188587523,16,309.2779556630338,1.0,40.85743792056682,-34.57304611533898,1.6551825584697473
21,EOSUSDT,DYDXUSDT,0.1,0.1,884.8069481134918,78.75559110995393,691.9190334247506,172.08096657524933,0.008675475551421057,7.676121046086077,0.0395646561196872,0.08900878465960256,0.5776453588136317,18,299.13251300323503,0.8888888888888888,884.4844569272285,-83.18939679979151,2.74940478620799
37,ETCUSDT,OPUSDT,0.01,0.1,44.39170160442661,13.071577233988993,843.4423304841056,20.55766951589449,0.17884843887711785,7.9393865310505465,0.044189704247178906,0.2944599274537729,18.473910930798727,16,266.1337079606111,0.9375,44.395659137467554,-66.33091456012858,1.6885582806561121
28,ETCUSDT,MKRUSDT,0.01,0.001,41.23427609223422,0.08004808203594607,783.3275429241735,80.67245707582644,0.19289378123626844,7.953835431971321,0.016616562055359867,0.0019412995600284536,17.056498058855986,17,256.14923877833536,0.9411764705882353,41.233072284113696,-50.92284734734054,1.654823458209815
41,COMPUSDT,FTMUSDT,0.001,1.0,3.9480910639234374,2230.647818157719,281.57785467901954,582.4221453209805,2.40389731962369,9.490805526195793,0.009182862586145596,564.9940140795537,-74.07214340337035,16,254.39949277387493,0.9375,3.94868648507208,-77.11688794495399,-2.0540501053221036
34,ETCUSDT,1INCHUSDT,0.01,1.0,44.46871541397653,56.59278937298719,844.9055928655541,19.094407134445877,0.17201830292570267,7.649432958798279,0.01730119809788611,1.2726427747269726,18.415145654427388,15,253.30077576838897,0.8666666666666667,44.473002022098555,-68.03341552131492,1.707769726407885
20,EOSUSDT,MATICUSDT,0.1,1.0,820.0251372628875,288.52375992282646,641.259657339578,222.74034266042204,0.007209369377505533,5.911864113367833,0.018494548863006225,0.3518474578546123,0.49539534936448687,17,243.7376205448405,0.8823529411764706,819.9703731575428,-75.86513253894671,2.6649637695441917
18,EOSUSDT,AVAXUSDT,0.1,1.0,744.282963655679,19.813837567371163,582.029277578741,281.97072242125904,0.007151978626416395,5.323095848071267,0.017989210228598174,0.026621377264974537,0.38608959080184185,17,234.41600092325973,0.8235294117647058,744.2488284117072,-66.42656765457818,2.6847151525883484
