,sym_1,sym_2,expected_return,backtest_trading_oppotunities,backtest_returns,backtest_win_rate,backtest_peak_loss,backtest_peak_profit,recent_z_score
0,GTCUSDT,API3USDT,421.08392280066994,1,24.2605917005891,1.0,-13.339185676137305,93.50158894185437,1.7580425437769744
1,GTCUSDT,LPTUSDT,116.1032107047378,1,-1.9007331194870605,0.0,-9.55035546866057,4.449327327537858,0.7469536233887698
2,GTCUSDT,DUSKUSDT,-114.15743091832482,1,-707.1018889748595,0.0,-1031.1001587957908,21.65295705046757,-0.5135540113982421
3,EOSUSDT,C98USDT,364.1789913377803,2,-0.4297381770034431,0.0,-0.8539134715894443,0.023794557861280513,1.7519704116195778
4,OGNUSDT,SNXUSDT,-1113.5578265666736,1,-0.3945145414717965,0.0,-6.125958836560583,3.4612605322685273,-0.7334402755466761
5,FILUSDT,C98USDT,135.40183876906792,1,-0.615246365803551,0.0,-1.6052971364346578,2.5216846120779755,2.96632007667597
6,OGNUSDT,OPUSDT,-1538.7028255346947,0,0.0,0.0,-11.150287639211271,6.624360139727406,-1.5868135170878075
7,SANDUSDT,C98USDT,-239.60696669124403,0,0.0,0.0,-4.846803908381448,0.3453409301299248,-0.5661170100630153
8,ETHUSDT,GALAUSDT,0.2657941894130703,1,-0.12742339254712948,0.0,-0.3032269658154273,0.9395896585056395,1.637530268893847
9,SNXUSDT,GALAUSDT,28.3130094485682,1,-1.6601940474293717,0.0,-4.7199192910379715,3.919754955550663,0.5444239997649052
10,ETHUSDT,BTCUSDT,0.08025303406756983,1,-0.5780362481264936,0.0,-0.5420151173187269,1.0300382429041082,0.8521598199189079
11,BTCUSDT,EOSUSDT,0.004005771601817469,1,-0.357749230671341,0.0,-0.08685894055070766,1.26085558863945,0.5804045464342478
12,BTCUSDT,C98USDT,0.0028690042875964493,0,0.0,0.0,0.0,0.0,0.6263529587542028
