,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
36,HBARUSDT,XRPUSDT,0.044426975477014664,0.001529571504290895,0.01529123807492041,0,0.0,0.0,0.0,-0.7666163977661011,1,58.637264087511724,1.0,-12.115216081881396
25,BCHUSDT,UNIUSDT,13.334918529491055,11.092853720258853,0.015455605048219715,0,0.0,0.0,0.0,-1.7324044143359938,1,55.5191179418504,1.0,-15.624384293114094
40,HBARUSDT,EOSUSDT,0.07079502653915247,0.0017445731459890656,0.0069180162880408454,0,0.0,0.0,-6.422070613401672,-1.88072760493878,1,45.98202159238649,1.0,-16.691861586732113
0,LINKUSDT,NEARUSDT,2.5612913295402655,0.5409959987565314,0.0015611920307458365,0,0.0,0.0,0.0,-1.5564941242949113,1,34.07827377707511,1.0,-23.996817433831218
50,XLMUSDT,ETCUSDT,0.018993861731191528,0.01845243020020212,0.019162301992448384,0,0.0,0.0,-0.6378556336524019,-0.661428298399049,1,19.729595255198465,1.0,-11.08767053687753
15,LINKUSDT,ETCUSDT,0.40916241684032667,0.5998681333360356,0.00038674227761695506,0,0.0,0.0,-2.392670722695119,-0.8706340680360333,1,12.618161886641099,1.0,-40.443484803650946
20,LINKUSDT,EOSUSDT,8.888062913684958,0.5191716980059757,0.0005497286115531141,0,0.0,0.0,0.0,-1.0118065750836187,1,11.267762022381152,1.0,-5.87912991611587
39,HBARUSDT,INJUSDT,0.002902465972663179,0.0018670932944230758,0.009364002396624037,1,56.20841220208054,1.0,-0.10084035880693365,-0.6448631960957919,0,0.0,0.0,0.0
41,HBARUSDT,MTLUSDT,0.02997175266097303,0.002218131785349474,0.0013232166938879628,0,0.0,0.0,0.0,-1.9318396943384821,0,0.0,0.0,-87.918026254071
42,HBARUSDT,ADAUSDT,0.2549191039302962,0.0030813431780124722,0.02872031936191545,0,0.0,0.0,0.0,-0.3716600942215323,0,0.0,0.0,-3.741528627992441
43,SNXUSDT,FTMUSDT,14.454194735957815,0.38006685818515434,0.012085556376388652,0,0.0,0.0,-8.511063805112208,-2.3559363096682864,0,0.0,0.0,-56.58359627548999
