,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
17,FILUSDT,UNIUSDT,0.07029759908152068,0.05761082757866231,0.020827962074362334,1,-2.436728472194222,0.0,-5.873422950137798,1.346984537853848,1,51.07114444329631,1.0,-12.571353176665012
14,FILUSDT,TOMOUSDT,0.4710345779513082,0.04757365052911183,0.012930480144674484,0,0.0,0.0,-5.754769115309316,1.15516516029912,1,17.794504016063637,1.0,-12.10659883272818
10,FILUSDT,STMXUSDT,112.14621811263274,0.041032243320742734,0.02151255619589164,1,-11.727007676831771,0.0,-10.527007676831772,3.6339574690094336,1,16.53305324886984,1.0,-10.387155301586779
9,FILUSDT,MATICUSDT,4.49009937746122,0.024477523291951218,5.091443466386966e-05,1,-9.466563308270564,0.0,-7.146563308270563,2.836487373080666,1,15.224349605873158,1.0,-10.100527028888417
16,FILUSDT,ADAUSDT,10.312534486313094,0.02809119155921108,4.2012341035231045e-07,1,-6.384391845261703,0.0,-10.41256348778441,2.7493491611771974,1,12.106137560587634,1.0,-11.843935106619304
3,ETHUSDT,OPUSDT,270.62910575317846,13.087792993796937,0.010780344618213485,1,-0.9038232852496928,0.0,-2.116062285463078,-1.1694499108033913,1,6.246810479209404,1.0,-12.612298424726621
11,FILUSDT,SOLUSDT,0.09519960737455141,0.02032143404123916,0.005108111720705044,0,0.0,0.0,-0.37623728649503424,3.2287578149770013,1,6.045240078716813,1.0,-9.43924089313822
7,XRPUSDT,EOSUSDT,0.7615918930772141,0.0033479433274835606,0.008981227925112566,1,2.6280449236117,1.0,-0.6706458303195938,-0.010394670914627832,1,1.4898467126484976,1.0,-3.709126971581253
4,XLMUSDT,XRPUSDT,0.4429611471968237,0.0012430762548777117,0.005072771257036925,1,9.662156835446186,1.0,-1.9072174579793435,-1.992419278942362,1,0.30949686249451647,1.0,-2.3964323268569285
15,FILUSDT,EOSUSDT,5.625263367353674,0.016202692792491882,7.148764816701127e-06,0,0.0,0.0,-8.07724916408798,2.719174076680003,0,0.0,0.0,-31.517266557972697
0,LINKUSDT,OPUSDT,1.648860916124249,0.0752098759520353,0.006073018305736674,0,0.0,0.0,0.0,0.7050677003042073,0,0.0,0.0,-93.26581742338783
8,FILUSDT,KNCUSDT,1.0630564689857604,0.04077937153685046,0.027704977235542244,0,0.0,0.0,-9.054030390304499,-1.4468944684526548,0,0.0,0.0,-1.6501273667208345
5,COMPUSDT,SOLUSDT,9.97273949548369,1.9928063786122967,0.02138171974702723,2,-4.756081582542237,0.0,-4.049250021449697,0.7960238140233948,0,0.0,0.0,-1.9326459532256408
2,SNXUSDT,KNCUSDT,3.3257633443699843,0.04431565525381084,0.01636937761861577,2,-38.134261380248134,0.5,-56.61816946623064,-1.518897521497532,0,0.0,0.0,0.0
18,EOSUSDT,ADAUSDT,1.747625028656167,0.0037455122440797303,0.017357244955260562,1,3.8166642930158154,1.0,-4.591174880369346,-1.392090088005002,0,0.0,0.0,-6.220639950327072
13,FILUSDT,AAVEUSDT,0.011021602143240099,0.02771001470242677,0.004899639594649981,1,-0.8468318106886848,0.0,-1.0307537958999948,1.3966374018380354,1,-1.1352314542714188,0.0,-8.125238604014505
1,LINKUSDT,INJUSDT,0.5473898396692866,0.04338449906690349,0.0007746669551097737,0,0.0,0.0,-1.7032600464104886,0.7414716843841387,1,-8.638488355919288,0.0,-101.63045222125976
6,XRPUSDT,FILUSDT,0.12573474753116867,0.0034807785115853235,0.011161500857853914,0,0.0,0.0,-0.27402814798660036,-2.4538780517732963,1,-17.37860732893309,0.0,-23.012670804326135
12,FILUSDT,INJUSDT,0.19865471090086476,0.048046702280851374,0.004870344307200561,0,0.0,0.0,-2.6809144070880393,0.5265097249155252,1,-62.07321521145302,0.0,-71.96848234151115
