,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
15,QTUMUSDT,TOMOUSDT,0.05034402451340042,0.060788744592934964,0.011913200534339493,4,-4.798131712415781,0.25,-13.690685774166074,3.312841976152179,2,384.20896893477857,1.0,-45.52818391860333
6,CELOUSDT,UNIUSDT,0.04513438856871792,0.0065609845189459285,0.0024959827083314793,3,25.047373132770097,0.3333333333333333,-9.184986324974286,-1.198113369639077,1,351.0718876692168,1.0,-147.88438939052918
16,QTUMUSDT,UNIUSDT,0.03978787198229954,0.05805628263262261,0.00890756138289848,3,26.73325545921925,0.3333333333333333,-37.92746712914086,3.3766829955838142,2,203.1759986877679,1.0,-14.832080353814586
14,QTUMUSDT,OPUSDT,0.20436739383067848,0.055784805105756785,0.016480984481392316,1,9.730219136648603,1.0,-3.054971860697401,3.38975213236243,2,91.86089227639066,1.0,-25.91853507465872
22,XRPUSDT,AAVEUSDT,0.002452112323961801,0.010643054296192592,8.130891415070636e-05,2,32.509775427084435,1.0,-12.937284258118446,-0.8891419961280149,3,65.03874125475885,1.0,-5.641976914130389
39,BTCUSDT,AAVEUSDT,34.23743663732439,224.26728852663825,0.00025562449117085033,2,6.8978020763161485,1.0,-1.612778566901551,-1.3776848514024234,1,41.20180908528384,1.0,0.0
2,MASKUSDT,CRVUSDT,0.8381330627688259,0.06019965705793157,0.02046122042270744,1,1.8265915904119372,1.0,-10.310191347697323,-1.6483079105511862,3,39.61904999815845,0.6666666666666666,-18.68908205764391
23,DOTUSDT,AAVEUSDT,0.017520982034380586,0.05946085467038371,0.013233788726713396,2,14.147095971943159,1.0,-2.5612885810366235,-0.3916452720833392,2,34.468063720800025,1.0,-5.707356440200265
45,TOMOUSDT,UNIUSDT,0.24406191823322285,0.059471125243949395,0.009053242189408488,2,167.97572177399854,0.5,-394.1544047425613,1.453495541350905,1,27.43659065844636,1.0,0.0
4,MASKUSDT,APEUSDT,0.8030942905680107,0.048409304337660955,0.0015806624085694073,0,0.0,0.0,0.0,0.1516748028627921,2,26.24220819250116,1.0,-0.21850030875191487
12,ETHUSDT,AAVEUSDT,3.877554891190508,7.8841460464358795,0.010298557201621072,2,16.937282460850255,1.0,-3.6401027063623217,-1.0911878061933495,1,23.315307315526383,1.0,0.0
33,DYDXUSDT,INJUSDT,0.09432437628286636,0.03196521836770006,0.011366444908767521,1,-281.6897036735342,0.0,-281.0497036735342,-1.0162275666586775,1,20.17435805056972,1.0,-20.22000146300081
27,DYDXUSDT,FILUSDT,0.06310706393184018,0.042285600355653576,0.005900629325318341,2,752.8641451725274,1.0,-435.0784403661729,-1.1858516858847004,1,17.340153762571248,1.0,-13.681515217949643
11,SNXUSDT,DOTUSDT,1.6672474405807707,0.07892787895637839,0.007085188425114882,1,6.7054680049775905,1.0,-2.3807842010034017,-0.023177567847024332,1,15.11800103137693,1.0,-29.570939014318594
41,SUSHIUSDT,UNIUSDT,0.03862875857721305,0.012242470970422427,0.00320956189223982,2,3.052959840024611,0.5,-5.325393859092086,-0.6905007059592073,2,14.74409927938638,1.0,-9.63446376759251
3,MASKUSDT,LDOUSDT,1.1746151713783268,0.055410082812952205,0.01332368701894817,1,-5.108651702955843,0.0,-6.781820443104454,-0.8771125868844082,2,11.909133455288089,0.5,-9.27231887787499
26,DYDXUSDT,LDOUSDT,0.15532860960160844,0.041051344021295386,0.006946132108023144,1,-165.9447327717248,0.0,-175.1350528907624,-1.2094104434148039,2,8.81219575011419,1.0,0.0
29,DYDXUSDT,MATICUSDT,0.6300690167915832,0.038817103445752996,0.007583559114939991,1,226.33358240780888,1.0,-144.33785466964378,-1.2379461624196122,1,8.416442949610037,1.0,-0.6230924992726432
25,DYDXUSDT,SUSHIUSDT,1.0535886867904767,0.0352551838553943,0.022296195506495267,3,43.069914971800245,0.6666666666666666,-14.494139135341193,-1.2635080321019383,2,6.362033536814815,0.5,-3.516601117111036
28,DYDXUSDT,ETCUSDT,0.014970453842451492,0.044098478103935336,0.005116484222569415,2,-22.569930341746396,0.5,-37.643646434027254,-1.1945281540940118,1,6.31417192054453,1.0,-1.4029102426823814
17,DOGEUSDT,STMXUSDT,0.2707992632370804,0.002571290472000696,0.004166381483383623,1,36.736479514472826,1.0,-6.742657270690606,-0.6410308994286309,1,4.510502332964546,1.0,-11.754188431210068
1,APTUSDT,STMXUSDT,81.9493065706411,0.14855133606954066,0.004617884728157644,1,7.066829738490879,1.0,-9.879617699897874,-0.8534832390764759,2,3.6829251194806742,1.0,-6.252075537740293
5,CELOUSDT,BNBUSDT,0.005032468793803443,0.008890112055910929,0.0037781965688665,2,-996.4818811389777,0.5,-1190.9483252257912,-1.5319437956478397,1,2.779757056434171,1.0,-4.131843625816859
10,GALAUSDT,FILUSDT,0.006433156403199033,0.0005317872767426542,0.014774880836930822,1,-4.779463222412859,0.0,-5.2478641525278835,0.016191304296534086,2,2.1252757385562093,1.0,-22.920919778456017
0,NEARUSDT,XLMUSDT,2.2813697180997385,0.026328296328374592,0.019237384053504527,1,6.183619339843744,1.0,-23.268766622688286,1.5113702062661623,2,2.0468114571722777,1.0,-7.766425321672887
46,EOSUSDT,MTLUSDT,0.15984297993352486,0.00924119824592058,0.0009509559420384084,2,-0.7476811818553948,0.5,-27.044491855951538,-0.7401292774008247,2,0.4414682692681974,0.5,-41.51324176040225
31,DYDXUSDT,STMXUSDT,15.77502930012365,0.040114953422250445,0.0038664587078616145,1,29.797372042637168,1.0,-53.21362331294421,-1.1747488493299298,1,0.31130375843531854,1.0,-3.7853566297381622
