,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
3,BCHUSDT,BTCUSDT,0.02410223372738869,4.522079578473718,0.0010796742555874293,1,-0.20257323218885417,0.0,-3.340170685499552,-1.7905275389512194,1,4.234661379355418,1.0,-0.5995751871115096
9,ETHUSDT,QTUMUSDT,123.95917492350455,7.0452501962221294,0.01435508593169028,0,0.0,0.0,-3.3326131688827805,1.5249778608447846,1,2.1430969304770455,1.0,-3.882131707340071
11,QTUMUSDT,MATICUSDT,9.94840082671383,0.043939479704816035,0.01752850941046667,0,0.0,0.0,-9.070842552591559,-2.065206935223526,0,0.0,0.0,-3.58511414416254
20,LDOUSDT,APEUSDT,1.5834103988122068,0.014113280223761866,0.023258654791090887,0,0.0,0.0,-13.545291556275977,0.6302843278560802,0,0.0,0.0,-9.641530583953221
18,SUSHIUSDT,LDOUSDT,0.22648159497839546,0.0096552268392672,0.020604418302039178,1,4.605004919368078,1.0,-4.804309470114815,1.4446722033154966,0,0.0,0.0,-6.826518732101579
17,OPUSDT,KNCUSDT,0.1484262126670229,0.017328650239998248,0.024230256926097454,0,0.0,0.0,-9.87356106758698,-1.3417991568814642,0,0.0,0.0,-0.01653091650998756
13,XLMUSDT,DOTUSDT,0.050553559605017215,0.0010974498763179558,0.009852093440930482,0,0.0,0.0,-1.1804228732144852,-1.4240529086235885,0,0.0,0.0,-4.685664212646511
12,XLMUSDT,AVAXUSDT,0.022973912210418498,0.0008465644192742787,0.02329409648289757,0,0.0,0.0,-1.3494452962685708,-1.3986557993762825,0,0.0,0.0,-4.437752714173517
1,LTCUSDT,AVAXUSDT,17.25620094841273,0.7759377328605339,0.0032518501558119394,0,0.0,0.0,-8.548387407138435,-1.6373296387694343,0,0.0,0.0,-0.5395443848145736
22,MATICUSDT,ADAUSDT,1.7763857331553408,0.0023879126411443102,0.001737895349093578,1,4.106614416372351,1.0,-0.9499819759918092,1.6867545088953393,0,0.0,0.0,-2.4742363820632662
8,GALAUSDT,EOSUSDT,0.022609371206603814,0.00016999013923626658,0.026578710975394774,0,0.0,0.0,-0.8450732675393091,-0.6748757362325671,0,0.0,0.0,-4.932538885485796
7,BNBUSDT,DOTUSDT,42.09312878236143,0.827719144559038,0.003866682841950037,1,3.152290151683724,1.0,-5.2142392962633535,-1.4957923106540474,0,0.0,0.0,0.0
5,CELOUSDT,OPUSDT,0.9799774666414796,0.016046702792337317,0.01491171746921134,2,58.81148192572766,0.5,-4.462112849376982,-1.2344731302231322,0,0.0,0.0,-15.36541372757151
4,APTUSDT,QTUMUSDT,0.6467273625031043,0.04983588886061041,0.012729142230187515,1,4.838272076161426,1.0,-9.33756411429494,-0.19935997981490378,0,0.0,0.0,-2.3780780305044056
2,LTCUSDT,BTCUSDT,0.009372589032298324,2.035031764359613,0.02402189097678679,0,0.0,0.0,-4.543059348005406,-1.559336889055059,0,0.0,0.0,-1.4076566048184278
10,QTUMUSDT,AVAXUSDT,0.5598449013048691,0.05521180608059636,0.021801947504339256,0,0.0,0.0,-16.133350186871375,-2.053809483162023,1,-0.16110211506799582,0.0,-5.381194500859413
14,FTMUSDT,MATICUSDT,0.5150740478229081,0.0015550251064913015,0.015834188098944855,0,0.0,0.0,-6.663790425075608,0.9824879455701443,1,-0.7115797558224999,0.0,-0.7986313474507694
21,LDOUSDT,STMXUSDT,113.9369464740106,0.029631852980016544,0.022966763588836425,0,0.0,0.0,-7.428903765818773,-1.8309421390155736,1,-2.368314702518004,0.0,-19.554624176428668
0,LINKUSDT,BNBUSDT,0.049773160651552614,0.05821999337366026,0.008003684623939711,1,-0.4691423355628042,0.0,-5.835891754806108,-1.7447676828508296,1,-2.4366850392410955,0.0,-2.599510788531262
6,LINAUSDT,OPUSDT,0.0047502227980260985,8.538041319313562e-05,0.025232606719483484,1,-7.377050453871706,0.0,-12.409455444210852,-0.9835094959586671,1,-6.809538952691638,0.0,-37.526710783508264
19,SUSHIUSDT,UNIUSDT,0.037943477778034806,0.012551226575424323,0.015599567494076485,2,-9.177393798429126,0.0,-15.71066005342647,1.200237584457584,1,-9.401536984899067,0.0,-46.22247031139344
16,MKRUSDT,LDOUSDT,429.14605801270636,8.136482501462892,0.026822724684956997,0,0.0,0.0,-0.5715222337780134,-0.3349351223583688,1,-10.922048429963588,0.0,-10.442048429963588
15,CRVUSDT,AAVEUSDT,0.008787452678932469,0.011969947646200827,0.004059382512667958,1,12.830510701220899,1.0,-5.1342880162010545,0.3830699300533692,1,-48.94092369654501,0.0,-59.13196764433928
