,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
12,HBARUSDT,GALAUSDT,0.8011408582910271,0.0015111334610966962,0.013837199295808301,1,158.02379572751124,1.0,-50.736467420725425,-1.8212297676928972,0,0.0,0.0,0.0
23,SNXUSDT,APEUSDT,1.3333926897244834,0.10707158102296982,0.01427170490245836,1,20.25911755711275,1.0,-32.32165647174497,-0.7357161823769361,0,0.0,0.0,-0.5083801252265556
33,DYDXUSDT,INJUSDT,0.09587862778074832,0.04460918322611001,0.005722915256076071,1,24.34914935899513,1.0,-15.738284449308022,-0.46255209693773114,0,0.0,0.0,-4.217668242227389
1,LINKUSDT,XLMUSDT,20.097213097697832,0.28065205238922347,3.5978109830817485e-08,1,10.624344751821369,1.0,-12.633084100082517,-0.2776995947720535,1,23.627085434072516,1.0,-12.414685413824461
