,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
16,XRPUSDT,AAVEUSDT,0.0017549705556005966,0.004043216376186016,0.004484075907246802,1,-19.892105587038248,0.0,-35.456473897937315,0.3547763602668914,2,13.512257565691517,0.5,-36.266108572717854
14,XRPUSDT,FILUSDT,0.09688549971755255,0.003870806998763142,0.011003940109297106,0,0.0,0.0,-2.893795909912952,-0.4458976654717251,2,13.154687529257611,0.5,-15.763846448101482
9,XLMUSDT,EOSUSDT,0.42373846146360017,0.0041956061517911146,0.008829591041389688,1,-3.7223295300913675,0.0,-5.029032682027083,-1.0686747858402945,1,10.632965371544731,1.0,-17.566281198901923
1,APTUSDT,XLMUSDT,15.988422890986529,0.05320385084644898,0.025183244326068402,0,0.0,0.0,-4.980180426196677,-0.09397059099560007,1,6.230218760486312,1.0,-6.2469945069817125
3,APTUSDT,XRPUSDT,7.58872230014361,0.04309429262495926,0.02256290147773444,0,0.0,0.0,-6.2764017543863435,-0.501037334415743,1,5.9966671235987095,1.0,-8.141467443763089
2,APTUSDT,DOGEUSDT,52.5347570310379,0.04849837876031536,0.02690241879191336,0,0.0,0.0,0.0,0.1314745772150967,1,4.100913241734154,1.0,-6.642365470141014
4,MASKUSDT,DOTUSDT,0.6535152039656067,0.016167502085851073,0.008543680785188372,0,0.0,0.0,-4.720766910244228,1.811830598864546,1,2.536479357569109,1.0,-0.6944909899120866
0,LINKUSDT,MASKUSDT,2.647790337017893,0.07841556214680305,0.00010795526763409275,0,0.0,0.0,-16.29216823908569,-0.5558869890214719,0,0.0,0.0,-3.250262307738991
18,FILUSDT,SOLUSDT,0.11773832170710766,0.02054962432413624,0.0038676384101850236,0,0.0,0.0,-9.545650234447473,1.2615834446704564,0,0.0,0.0,-7.993491892842728
17,XRPUSDT,EOSUSDT,0.9039056876595258,0.007145570240938011,0.000533836003563868,0,0.0,0.0,-3.095078769552507,-0.5063554304115895,0,0.0,0.0,-31.656998212289714
15,XRPUSDT,SOLUSDT,0.011592851014357766,0.003779200423793249,0.01367469137851119,1,8.35524331923781,1.0,-2.8247977243033437,0.020992970984242756,0,0.0,0.0,-19.895445983401018
10,DOGEUSDT,KNCUSDT,0.02885288398411049,0.0010171957483972687,0.029289417891587847,0,0.0,0.0,-20.15001866873288,-3.330350383691503,0,0.0,0.0,0.0
11,DOGEUSDT,APEUSDT,0.015991220076608904,0.001240254297578485,0.025518009797047488,2,14.587949717745047,1.0,-1.640977026941575,-1.462331495515806,0,0.0,0.0,-37.63428818269848
8,XLMUSDT,AVAXUSDT,0.016406200581842625,0.002289211290356195,0.02266696427236129,0,0.0,0.0,-2.6920430088659195,-0.4934542935353418,0,0.0,0.0,-18.50972424170544
7,SNXUSDT,KNCUSDT,4.052703260631095,0.15686469920538484,0.023610452972222744,0,0.0,0.0,-41.77599194780566,-3.4697124800442283,0,0.0,0.0,-1.984189928514887
6,HBARUSDT,KNCUSDT,0.02806282677588446,0.0006006240868071335,0.0003349182240347839,0,0.0,0.0,-10.295793551772242,-1.4781259296479645,0,0.0,0.0,-98.87317950457212
19,APEUSDT,SOLUSDT,0.1016730963888225,0.017372059265266665,0.0153806056594872,2,3.7090616405232577,1.0,-2.4111402655873544,0.014192210271344858,0,0.0,0.0,-15.20757653236596
5,MASKUSDT,MATICUSDT,3.1685017510709654,0.012961188344547188,0.00022348224639266492,1,-3.4186079542187144,0.0,-4.855942085839203,1.3796747527887194,2,-1.790529215537469,0.5,-10.682347341666583
13,XRPUSDT,DOTUSDT,0.11967244087575046,0.004198680816997317,0.009276583793448234,1,-4.937127728288899,0.0,-9.590171132606535,-1.0279013435042395,1,-1.8683401919083338,0.0,-27.758705974062288
12,AVAXUSDT,AAVEUSDT,0.05385112541120232,0.050765507530004444,0.0001026607437400684,2,8.97601710029306,0.5,-4.537324239249552,0.9384485247963104,1,-23.12697990311065,0.0,-29.37287945547689
