,sym_1,sym_2,expected_return,backtest_trading_oppotunities,backtest_returns,backtest_win_rate,backtest_peak_loss,recent_z_score
0,LINAUSDT,OPUSDT,4097.369202002222,1,-7.422994068619878,0.0,-11.56888727019488,0.17985099346305305
1,LINAUSDT,MTLUSDT,-4546.021857445539,1,9.18562128919501,1.0,0.0,-0.29773596674924757
2,GALAUSDT,MKRUSDT,-6673.8843639817505,1,-8.607944314719708,0.0,-14.149562400904635,-0.551242827379164
