,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
15,FILUSDT,EOSUSDT,5.329096213370981,0.02316485356640859,0.0008399517474423906,2,-9.17940626340529,0.0,-7.2246971498804715,-0.44548855029143575,1,14.260985767835114,1.0,-20.985242536121625
3,XLMUSDT,FILUSDT,0.06457771250340966,0.0016407688804651053,0.025578660798281208,1,-25.351781785562196,0.0,-23.911781785562194,-0.4747969316249096,1,11.894382207370466,1.0,-17.35078033607153
4,XLMUSDT,EOSUSDT,0.35920564402438226,0.0016540863911229187,0.019972835703129604,2,-10.084730170729435,0.5,-28.49092655611275,-0.9480024208694511,2,6.223268522914944,1.0,-0.19276377333563421
1,XLMUSDT,XRPUSDT,0.4152542803026529,0.0012358655916508215,0.017715104386885974,1,-13.270829693059667,0.0,-12.230829693059668,-0.10397851723548535,1,4.013398908851855,1.0,-1.0792680510446142
2,XLMUSDT,OPUSDT,0.06965015875150198,0.0037860783115773234,0.02737977349041405,1,10.795111484677356,1.0,-1.6910498403294172,-1.2866006665416634,1,1.9697914917797812,1.0,-8.239122543811627
9,XRPUSDT,MATICUSDT,0.6043633094625378,0.0038832772072772584,0.015149022794847526,2,-15.75656874708206,0.0,-18.00305301862806,-0.9970102828508933,1,1.9317943435177534,1.0,-3.652715063490265
8,XRPUSDT,FILUSDT,0.1267983940412811,0.0036249001525531553,0.02988131439746868,2,-21.27098386845995,0.0,-23.344181213598603,-0.3852356326209101,1,1.74527073841268,1.0,-9.676460475381893
11,OPUSDT,FILUSDT,0.8659469360104379,0.057453106983416165,6.496114573904317e-05,1,-24.265955568584992,0.0,-39.01951204940462,0.8059794934092656,0,0.0,0.0,-43.7414934850919
14,OPUSDT,ADAUSDT,9.470710686330401,0.038393451758181006,0.011813197203807736,1,-1.3690601025373248,0.0,-18.86089197908869,1.549532284825237,0,0.0,0.0,-45.0096522421466
12,OPUSDT,SOLUSDT,0.08621313690232958,0.047272535324316994,0.010520774634081407,1,-10.433166209691185,0.0,-37.616286530783185,0.546073153496408,0,0.0,0.0,-21.86510724377618
16,SOLUSDT,AAVEUSDT,0.13666843601322504,0.1420899404102949,0.027866795513935644,1,0.09051931812406144,1.0,-17.428463274644145,0.2720495021212107,0,0.0,0.0,-4.359855240653804
7,XRPUSDT,OGNUSDT,2.596046496023145,0.005450760643364745,0.01831218804141752,2,-21.461104317113936,0.0,-36.53044152930143,-0.9493843844213763,0,0.0,0.0,-6.076995322214438
6,DOGEUSDT,ADAUSDT,0.23346337524827945,0.0004174352021339982,0.014670653799197656,1,-1.1591031188178542,0.0,-1.251729270844856,0.6780363411122435,0,0.0,0.0,-12.281044770832423
13,OPUSDT,EOSUSDT,4.7259252783791466,0.045884389642765686,0.0005461677613405875,0,0.0,0.0,-26.86436536752062,0.5851615704882952,1,-0.5891366820769198,0.0,-19.29456072485814
10,XRPUSDT,EOSUSDT,0.7433090522959346,0.00410081796271034,0.02036959362608774,2,-15.29020781237204,0.0,-26.31384966400752,-0.7845036935026726,1,-1.3395376570466881,0.0,-2.1180828211568192
5,DOGEUSDT,OPUSDT,0.02199670634283225,0.000982000247169802,0.0021919196491182423,0,0.0,0.0,-18.299613111273878,-1.2844297310036998,2,-8.291817742950483,0.5,-8.185649729939682
0,BCHUSDT,KNCUSDT,170.04140685034244,2.143088526456037,0.0041582036975400085,1,2.301735401535769,1.0,-3.4997725561066275,0.6337740372440712,1,-49.86723120394736,0.0,-48.58723120394736
