,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
7,CELOUSDT,OPUSDT,0.9799774666414796,0.014409134520842092,0.01491171746921134,1,70.85843947254703,1.0,-26.846235568396168,-1.036252273113951,1,-6.318895885802095,0.0,-12.938363310825741
16,LDOUSDT,APEUSDT,1.5834103988122068,0.013370588046223014,0.023258654791090887,1,4.996767808550562,1.0,-15.380853975299505,0.4140836161489122,0,0.0,0.0,-14.747966283744939
12,CRVUSDT,AAVEUSDT,0.008787452678932469,0.010569558284398227,0.004059382512667958,1,12.343624682882425,1.0,-8.379928761203981,0.1703820622897843,1,-4.720254591638481,0.0,-9.952096277830737
5,APTUSDT,GALAUSDT,258.77777654520446,0.047710589226699185,0.004540612410422054,1,2.1685916329775408,1.0,-7.880557437209291,-0.7545218104568567,1,-1.677890286026437,0.0,-3.462127928091541
