,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
0,LTCUSDT,BNBUSDT,0.5349955055973352,1.6160603777083324,0.02788131995962125,1,-28.2666711402501,0.0,-34.78876365126159,-2.436003401433976,1,35.179827095815654,1.0,-1.3659114866529807
2,BCHUSDT,BNBUSDT,1.4865555730637356,10.419271762941973,0.004680381027202399,2,-41.099112130562084,0.0,-37.00585835590634,-1.7742394906107244,1,22.025641004500454,1.0,-10.815577029133518
1,NEARUSDT,SUSHIUSDT,1.4648019463680308,0.037074282195534984,0.01784046958845386,0,0.0,0.0,-11.37215990014094,-0.10917743226778066,0,0.0,0.0,-31.875403677650546
23,SUSHIUSDT,INJUSDT,0.04442836411387281,0.023146164017272108,0.012282162544272364,0,0.0,0.0,-24.609766308489483,0.7462453193912071,0,0.0,0.0,-15.619659142514529
22,DYDXUSDT,ADAUSDT,4.550955672859956,0.07625525302182673,0.028623527997793306,0,0.0,0.0,0.0,-0.386306858676597,0,0.0,0.0,-6.06274522735651
21,DYDXUSDT,EOSUSDT,2.5450740976029924,0.0660918868037678,0.011352931254530857,0,0.0,0.0,-71.51362723783245,-0.43725531292340175,0,0.0,0.0,-10.253024408109255
20,DYDXUSDT,INJUSDT,0.05572997286477804,0.08134619302359844,0.007495265020388554,0,0.0,0.0,-61.45450035911997,-0.7040897587173457,0,0.0,0.0,0.0
19,DYDXUSDT,APEUSDT,0.4046106004310736,0.07409930503602295,0.013490028000760268,0,0.0,0.0,-34.64364328719399,0.5046487533198447,0,0.0,0.0,-5.916770198939367
18,DYDXUSDT,MATICUSDT,1.0495687871944968,0.09240436801648899,0.006871405634412126,0,0.0,0.0,-3.6828290478741037,-0.3671861473422236,0,0.0,0.0,-15.245085816673193
17,DYDXUSDT,LDOUSDT,0.1904700041636906,0.08724836713411344,0.02542093923165512,0,0.0,0.0,0.0,-0.8550102544491054,0,0.0,0.0,0.0
15,AVAXUSDT,XRPUSDT,9.26241475154041,0.8280178626889225,0.004451298654111587,1,3.525552190767909,1.0,-24.476484856018327,-1.8963444764565527,0,0.0,0.0,-18.129352698668047
14,COMPUSDT,SOLUSDT,2.543646538740778,3.657220258172111,0.017226228386269495,1,67.86937482435088,1.0,-58.01789724459438,-1.4769285067327014,0,0.0,0.0,0.0
13,ETHUSDT,SOLUSDT,18.198835375752132,24.883028779579043,0.0037473321041665802,0,0.0,0.0,-0.42431109354600094,-1.5859118638778786,0,0.0,0.0,0.0
12,ETHUSDT,AVAXUSDT,44.779154807288315,16.952269234392087,0.003860831159420253,2,6.755019395721698,1.0,-1.4940551394440396,-2.6554592979524507,0,0.0,0.0,0.0
11,BNBUSDT,UNIUSDT,2.8709410513814353,4.416995545425958,0.013158562610651035,0,0.0,0.0,-24.218566756909336,1.9606617497943266,0,0.0,0.0,0.0
10,BNBUSDT,MTLUSDT,42.365854673069265,3.0424891771426275,0.007061227313840261,0,0.0,0.0,-22.72398808563318,2.0413337405826772,0,0.0,0.0,-11.078398046184688
9,BNBUSDT,SUSHIUSDT,30.79836994216889,4.17253009092253,0.00731073484281264,0,0.0,0.0,0.0,2.568156974801014,0,0.0,0.0,0.0
8,BNBUSDT,OPUSDT,5.727582363084478,4.419678375901025,0.024704823081253616,0,0.0,0.0,-24.75158032554233,2.2671808554365738,0,0.0,0.0,-15.18984435244071
7,LINAUSDT,MTLUSDT,0.009427741872227287,0.0003705176136052046,0.005966917457767424,0,0.0,0.0,-31.25963673313876,2.3009956816395416,0,0.0,0.0,-14.519509549567253
6,CELOUSDT,SOLUSDT,0.011682730360084978,0.0197901606955523,0.028647901327873444,0,0.0,0.0,-33.04353237371653,0.4253387926276264,0,0.0,0.0,0.0
5,MASKUSDT,APEUSDT,1.307957217900411,0.08269844981482878,0.023179187228735566,1,2.254215896401302,1.0,0.0,2.125620419356898,0,0.0,0.0,0.0
4,MASKUSDT,GALAUSDT,70.6157984968639,0.1019524872371015,0.024242427134112152,0,0.0,0.0,-4.167421009092871,-1.7946725444061702,0,0.0,0.0,0.0
3,BCHUSDT,DOTUSDT,17.895402799263632,13.522229197519986,0.014245090976223642,0,0.0,0.0,0.0,-0.24994687324140807,0,0.0,0.0,0.0
25,ETCUSDT,MTLUSDT,6.408339457541632,0.34829122668135754,0.013966143618921265,0,0.0,0.0,-40.56869662611756,-1.178300570188246,0,0.0,0.0,-40.07625553396179
24,LDOUSDT,INJUSDT,0.1601202387822484,0.09594772076802889,0.020255925105541854,1,39.328398951563585,1.0,-4.640305133036481,-0.8376119271455003,1,-23.361642880922652,0.0,-58.60477717042065
16,AVAXUSDT,INJUSDT,0.8497443949891206,0.3204178527895565,0.02803106506441205,0,0.0,0.0,-10.34080454224689,-1.150072285816604,1,-36.71386335237854,0.0,-53.23783415248571
