,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
13,CRVUSDT,AVAXUSDT,0.013235547783965712,0.0053322305270879595,0.029356235058182648,2,-17.65715352829502,0.0,-11.360933784932618,-0.3302260926320791,3,81.84963591332779,1.0,-16.269074690278174
12,CRVUSDT,DOGEUSDT,0.4271205529146176,0.0053579187465259154,0.027435109881607595,2,-5.489063809061919,0.0,-15.274223446437828,-0.11765402362396775,3,19.05547354457325,0.6666666666666666,-6.714449029090996
23,CRVUSDT,STMXUSDT,0.18619519607234025,0.005353846443552738,0.025172394029656667,3,-12.079666035398716,0.3333333333333333,-15.002049316769513,-0.16893235041339594,3,17.451834043099502,0.3333333333333333,-18.480287625316866
39,LDOUSDT,TOMOUSDT,0.10306031667496962,0.006898799138069272,0.004231291716199418,4,4.9754125860511085,0.5,-6.957557013403635,-0.17900629032125326,2,16.669182439473595,1.0,-4.153096561453573
0,NEARUSDT,APEUSDT,0.8479872696875854,0.004724553772002979,0.016104537963035497,2,-17.070834381050442,0.0,-14.506768991189071,-0.6847692317781724,2,11.967081474388324,0.5,-0.7924083811769803
45,APEUSDT,UNIUSDT,0.0315875622774901,0.006587049825051041,0.02579203369404953,3,0.7356052899560663,0.3333333333333333,-5.072421144854639,0.6337950847804034,4,8.321214885863132,0.75,-6.816424498379432
32,DYDXUSDT,EOSUSDT,3.793953556003922,0.00664835536415302,0.008806137498183729,3,3.277588471858329,0.3333333333333333,-3.684350796250458,-0.3397726491868122,1,6.015229611954722,1.0,-0.8634545788305497
44,APEUSDT,SOLUSDT,0.023174397501170074,0.005339635377705866,0.016690745775649662,1,0.9626781118196852,1.0,-5.848033781278372,0.8673818663930636,2,5.905376982890946,1.0,-0.5457319073199175
42,ETCUSDT,ADAUSDT,24.225534021130056,0.028442192450213573,0.00511697128121602,2,-0.4213591221074737,0.5,-1.177754429421193,-0.16382490343059508,2,4.24074653457717,1.0,-1.6415854021626775
22,CRVUSDT,MATICUSDT,0.04615731050925442,0.005350479272435518,0.02723686361579988,1,-6.542015682770959,0.0,-14.567096358590943,-0.18869378132178,2,3.175147222280156,0.5,-14.065489341048316
35,LDOUSDT,ETCUSDT,0.028120949529125326,0.007172695432056406,0.007295800531259219,4,-1.0576851339252897,0.5,-2.227372414327161,0.25549718210249023,3,2.7090299048663824,0.6666666666666666,-2.290842289720433
27,AVAXUSDT,KNCUSDT,1.929387371221567,0.02766936272119752,0.0003138146245257357,4,-6.048496245369314,0.5,-8.57858726112886,1.3795727352069722,2,1.9347454438385507,1.0,-5.029744701594291
