,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
4,HBARUSDT,SNXUSDT,0.005489377647680654,0.00126195577580245,0.003347728640669597,2,2.2504912543550555,0.5,-20.833240206800845,1.7632468048193919,1,44.236348943916255,1.0,-23.813140556726687
19,INJUSDT,EOSUSDT,22.291349725901803,0.28822665458633595,0.005960392142052206,2,9.549120695503198,0.5,-7.476642429365949,1.410849169592758,1,36.527961518822515,1.0,-5.478894579047223
10,XRPUSDT,INJUSDT,0.05849740984080549,0.01028031325892825,0.012449555687039555,1,1.6581342904684893,1.0,-4.262547579130613,-1.067677534231381,1,30.481570664073633,1.0,-0.8826949873436255
3,MASKUSDT,LDOUSDT,1.932959808377328,0.0886026373529707,0.018230559872519283,1,0.2925345007288188,1.0,-23.21659511930146,1.617692306310935,2,13.312916848602672,0.5,-15.53562197814856
16,DOTUSDT,EOSUSDT,6.0484375063829905,0.0598827207420395,0.023602531973100544,0,0.0,0.0,-5.910466105026352,-0.3088530816162668,1,9.52770657096102,1.0,-2.6639229421431985
15,DOTUSDT,INJUSDT,0.2546380092602161,0.06227627853431314,0.012347405172178203,1,-3.3197612379545616,0.0,-10.417775746249047,-1.4829998060915917,1,9.056908573401131,1.0,0.0
1,NEARUSDT,EOSUSDT,2.492365762863032,0.02958836925058593,0.004332925937616442,2,-11.773458714241762,0.0,-7.933542924307792,0.5809928933929176,1,6.262196848911545,1.0,-18.255825620609638
2,APTUSDT,EOSUSDT,14.594044710528484,0.08378710109711508,0.008988551330521106,1,-4.5326823960004266,0.0,-3.7326823960004267,-0.4494108212939088,1,3.3946035670388857,1.0,-0.51849306773226
0,LTCUSDT,ETCUSDT,5.550691689035824,0.9275961823746915,0.022328226965033997,2,-11.670191925005112,0.0,-14.657774320930535,-1.0945129694115032,1,2.828239284512633,1.0,-4.95602396727871
8,XLMUSDT,SOLUSDT,0.006920653584704417,0.003556341067078575,0.003903390204158725,2,3.7571316293886228,1.0,-2.800320094285561,-1.1475474869800584,1,1.7310305608662808,1.0,-20.902859517966288
12,DOTUSDT,DYDXUSDT,1.6753119394308222,0.06474851247367817,0.019231700145292116,1,-27.37743775056378,0.0,-47.17659861495902,0.4431237309437307,1,1.4249805131000908,1.0,-10.20768894460467
14,DOTUSDT,MATICUSDT,4.157416283309896,0.05013661190313352,0.017507799540137255,1,-6.51794766764689,0.0,-5.71794766764689,-2.3170004227031153,1,0.8873334967693267,1.0,-4.833533373911047
9,XRPUSDT,DOTUSDT,0.21075741296747685,0.019398394490088147,0.00468203162566586,1,2.2259532959738766,1.0,-1.3919749898533293,-0.13575051979977276,0,0.0,0.0,-1.2996840108305854
7,SNXUSDT,DOTUSDT,1.248487673587145,0.09924488128759769,0.026161537706425087,1,-10.201386283691889,0.0,-47.07877715022811,3.4208034375254273,0,0.0,0.0,-9.79393479035312
6,HBARUSDT,ETCUSDT,0.003269685577117734,0.001186352314005535,0.028823407962568215,1,0.7131770402052593,1.0,-45.21266297197932,3.119841140106933,0,0.0,0.0,-86.64047226512899
17,LDOUSDT,APEUSDT,0.5535371879879121,0.03480705237612479,0.006082958259631514,1,-24.29693711465942,0.0,-23.49693711465942,-0.9137144433595484,0,0.0,0.0,-4.178225792846508
18,ETCUSDT,ADAUSDT,55.208228320758494,0.13543625102879964,0.018789743671236918,2,-3.953906574344559,0.0,-5.997467459542852,-1.5542064454515163,0,0.0,0.0,-6.65764332520482
11,XRPUSDT,EOSUSDT,1.3655379715080593,0.020726952179464145,0.014563944547666192,1,-16.70747725829378,0.0,-18.64862204002468,-0.2634977599102088,0,0.0,0.0,-14.1261490238586
5,HBARUSDT,XRPUSDT,0.04152722894601697,0.0006612263809620848,0.029392796448990184,2,-5.963794467211711,0.0,-14.781228364476949,3.060163503578251,1,-6.109104191201072,0.0,-67.83273621076901
13,DOTUSDT,LDOUSDT,1.6847399127082763,0.06457195263720271,0.01197272778626495,0,0.0,0.0,-12.232154431155852,1.186872030776783,2,-12.516271725333482,0.5,-21.171478268716193
