,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
8,HBARUSDT,STMXUSDT,0.9566863649747075,0.0022591324222844566,0.00815953419750721,0,0.0,0.0,-36.27523658864238,-1.956803961294121,1,91.69797065672738,1.0,-31.408410137247287
9,HBARUSDT,EOSUSDT,0.07313124061477337,0.0013151737002936048,0.00934631356454677,0,0.0,0.0,-23.843123274549406,-1.6043793854744643,1,26.490124072323415,1.0,-16.228149312644366
30,BTCUSDT,SOLUSDT,119.86200862303508,270.87076476663213,0.0013395465374969541,1,12.361300968009203,1.0,-12.103421785946836,-2.411829420572916,1,15.735788435763894,1.0,0.0
21,DYDXUSDT,MATICUSDT,0.6300690167915832,0.04362029392368642,0.007583559114939991,0,0.0,0.0,-64.10375950065448,-0.7609756326239888,1,10.121026004809707,1.0,-9.913239082469653
27,DYDXUSDT,UNIUSDT,0.015546987445873302,0.05558426074919113,0.00382622423497323,0,0.0,0.0,-59.05724371667427,-1.4913126533490129,1,6.322315202417877,1.0,-7.989402195664713
0,APTUSDT,HBARUSDT,80.73722537939759,0.18890914609663323,0.00018071898516023395,0,0.0,0.0,-6.480460645693918,-0.7271920226297386,0,0.0,0.0,0.0
29,BTCUSDT,APEUSDT,869.7616514390011,294.3023460618252,0.013758477402922329,0,0.0,0.0,0.0,-2.5749107925353667,0,0.0,0.0,0.0
23,DYDXUSDT,STMXUSDT,15.77502930012365,0.05790600019787922,0.0038664587078616145,0,0.0,0.0,-14.148438344099871,-1.0793252263250173,0,0.0,0.0,-43.302352727318436
24,DYDXUSDT,INJUSDT,0.09432437628286636,0.03649604914286542,0.011366444908767521,0,0.0,0.0,-61.45450035911997,-0.2606075217478085,0,0.0,0.0,-10.030575887157699
25,DYDXUSDT,EOSUSDT,1.6599751123235924,0.037595744559521464,0.02362186527963554,0,0.0,0.0,-46.069138806833266,-0.7829494605383163,0,0.0,0.0,-12.837372387390918
26,DYDXUSDT,MTLUSDT,0.1986791773236571,0.051140180576326626,0.005732927400942612,0,0.0,0.0,-65.44198076841238,-1.320138536227982,0,0.0,0.0,0.0
28,BTCUSDT,KNCUSDT,415.8985315595162,367.0953359684245,0.008107118893566441,0,0.0,0.0,-23.4515573917504,-3.035678457551339,0,0.0,0.0,-1.1299340070258896
31,BTCUSDT,AAVEUSDT,34.23743663732439,312.7423779991254,0.00025562449117085033,0,0.0,0.0,-14.474909899439847,-1.581679396611709,0,0.0,0.0,-1.1229713029677608
32,BTCUSDT,TOMOUSDT,18.321999517766244,348.44940266573684,0.01535404705048332,0,0.0,0.0,-31.63287987872182,-3.0252892313127755,0,0.0,0.0,0.0
33,BTCUSDT,UNIUSDT,32.96560867529422,347.2822252424092,0.01835321447514502,0,0.0,0.0,-9.593963575860984,-3.052793230695806,0,0.0,0.0,-2.2424388703503073
34,LDOUSDT,FILUSDT,0.429490693458764,0.06452301030501277,0.0009623300001602269,1,7.785166663123875,1.0,-4.425944580289837,-0.7846765144426906,0,0.0,0.0,-18.949007695944807
35,LDOUSDT,APEUSDT,0.4950430686465858,0.04141805446439663,0.002603172794018584,1,27.74614969361374,1.0,-2.299002048508158,-0.34141826267122805,0,0.0,0.0,0.0
36,ETCUSDT,ADAUSDT,55.86998684627338,0.16090713920300223,0.005349424691145291,1,-13.65722402438471,0.0,-25.555138369022533,0.19702865017795126,0,0.0,0.0,-15.85957562928815
37,TOMOUSDT,UNIUSDT,0.24406191823322285,0.08009701745831406,0.009053242189408488,0,0.0,0.0,-72.10971137528426,-0.7094928804649236,0,0.0,0.0,-60.409189805115055
22,DYDXUSDT,APEUSDT,0.12011731281971277,0.04931824825877133,0.007083452310258277,0,0.0,0.0,-81.91648892870867,-0.7519268350385201,0,0.0,0.0,-28.634670053385044
19,DYDXUSDT,FILUSDT,0.06310706393184018,0.05338023464352091,0.005900629325318341,1,5.836301276245878,1.0,-1.2295363223988585,-1.0166782150980855,0,0.0,0.0,-28.40791170141814
20,DYDXUSDT,ETCUSDT,0.014970453842451492,0.05378549034368868,0.005116484222569415,0,0.0,0.0,-56.48056100542525,-1.183393961562208,0,0.0,0.0,-12.11409443482613
1,APTUSDT,INJUSDT,0.5484728880938328,0.13544973578325334,0.029490754490412566,0,0.0,0.0,-5.601052459644789,0.4712977523552563,0,0.0,0.0,0.0
2,MASKUSDT,CRVUSDT,0.8381330627688259,0.11343718492815548,0.02046122042270744,0,0.0,0.0,-36.6498780579155,-0.8755320223084774,0,0.0,0.0,0.0
