,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
35,XLMUSDT,ADAUSDT,1.0035222489853748,0.017502466410258908,0.01210704817515428,1,8.813052092677264,1.0,-24.53068731293643,-0.6345764639536979,0,0.0,0.0,-9.829374362567968
30,SNXUSDT,APEUSDT,1.3333926897244834,0.17543914401691424,0.01427170490245836,1,39.768084762649366,1.0,-17.554187047366703,-0.6124980652299615,0,0.0,0.0,-3.9441499663318025
42,DOTUSDT,MATICUSDT,3.6477324467833214,0.07563022513440934,0.016387699768108045,1,7.650375174468249,1.0,-10.288869593334244,-1.5764398012819976,0,0.0,0.0,-0.815183710992841
24,HBARUSDT,XRPUSDT,0.044426975477014664,0.001529571504290895,0.01529123807492041,1,32.40490986905202,1.0,-7.415000233292637,-0.7666163977661011,1,58.637264087511724,1.0,-12.115216081881396
