,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
10,CELOUSDT,SOLUSDT,0.009587830436484215,0.011366743674131468,0.024608917755746442,0,0.0,0.0,-89.53945629698053,4.233966004216055,1,114.42012598074704,1.0,-27.610249988520803
23,COMPUSDT,SOLUSDT,3.901541967591095,2.634470124943142,0.0058372277736955325,1,11.592157473107157,1.0,-3.1316803906173902,-2.0031838424801096,1,19.51167951341699,1.0,-2.9009475710836403
24,COMPUSDT,ADAUSDT,359.1347845624015,2.929518757336903,0.01675972804956077,1,-2.5465899788389144,0.0,-3.696425108638965,-0.8138357272496768,1,14.136988946675192,1.0,-1.9363062130462623
20,COMPUSDT,DOTUSDT,19.43609581859006,3.479619762706577,0.018379542046039577,1,15.696104086165946,1.0,-3.5751045181210586,-1.4459343333738397,1,11.957742226216176,1.0,-15.119937557735584
14,LINAUSDT,MTLUSDT,0.0031709805001916553,9.949121493810838e-05,0.02834478131924609,1,-13.29084537136876,0.0,-12.49084537136876,1.3333855977900941,1,8.33995048956421,1.0,-22.468049046837933
26,OPUSDT,SUSHIUSDT,0.9423881502939162,0.032782050133322804,0.014307069843034849,2,2.0875397522743184,0.5,-21.391719867214192,2.6790867696345084,1,5.011805458912953,1.0,-19.459406567648635
2,APTUSDT,DOTUSDT,1.1352641495295939,0.03471764228289311,0.0025296136743483476,2,-4.004174156981801,0.0,-2.923013672454606,1.4967756838762833,1,4.322960506773249,1.0,-3.1492014892480333
19,XLMUSDT,XRPUSDT,0.37356949325866623,0.0012442019966991415,0.0017390809904013521,0,0.0,0.0,-6.102491008625849,0.20255482249297133,1,3.352657899918295,1.0,-7.045290860714442
0,APTUSDT,XLMUSDT,23.561272247517266,0.03220189732068038,0.004563848139997599,0,0.0,0.0,-3.342387636143373,1.0047902808747662,0,0.0,0.0,-5.454071404649938
1,APTUSDT,XRPUSDT,9.133019334080888,0.02755793188584362,0.001304520773648453,2,1.450779231672329,0.5,-3.735159379718315,1.2654823472535386,0,0.0,0.0,-2.5040566866507605
