,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
24,CRVUSDT,FILUSDT,0.01856451456725261,0.007657554576296224,0.02663549949012435,2,19.3697144550554,1.0,-15.957465279191819,0.01729939067451366,1,12.536080148995143,1.0,-16.665875466760017
20,CRVUSDT,OGNUSDT,0.49842028182439413,0.008087468344115336,0.02539445000829099,2,15.625579098707075,1.0,-9.274043914871626,0.1275475157257467,1,9.278945509596683,1.0,-5.761254233243975
26,CRVUSDT,ETCUSDT,0.005897896368942952,0.007839022400426256,0.028359281124040313,1,3.319359370073877,1.0,-10.16499353820657,0.011218308779847074,1,19.790629385275217,1.0,-2.601118869347056
1,NEARUSDT,APEUSDT,0.8479872696875854,0.00697829807640493,0.016104537963035497,1,3.3376737534666434,1.0,-9.225299255723062,-1.2433134465757847,1,16.889546137903444,1.0,-7.805081203908141
