,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
0,LINKUSDT,SNXUSDT,1.4556218401803027,0.2843222083307393,8.373239274793493e-05,1,26.286095924250542,1.0,-1.4439038583221229,1.1405256777115278,1,85.01788076856725,1.0,-8.392799616591372
8,MASKUSDT,SNXUSDT,0.7002549996595258,0.11077669064323549,0.021575273041646855,0,0.0,0.0,0.0,1.0711620383285392,1,43.086890003317514,1.0,-8.36356766108748
15,HBARUSDT,FILUSDT,0.003339136390664955,0.001706475174773386,0.020744322072257758,1,1.1313042939982096,1.0,-6.835403837765256,-1.8610771322406114,1,41.34395680217141,1.0,-0.8367846060416962
5,BCHUSDT,UNIUSDT,13.334918529491055,3.703095208250255,0.015455605048219715,0,0.0,0.0,-44.0313501507906,-1.4418389630577455,1,32.49891314043074,1.0,-21.973850719237593
1,LINKUSDT,XLMUSDT,20.097213097697832,0.28065205238922347,3.5978109830817485e-08,1,10.624344751821369,1.0,-12.633084100082517,-0.2776995947720535,1,23.627085434072516,1.0,-12.414685413824461
35,LDOUSDT,APEUSDT,0.6880375985404572,0.044638171418851506,0.007418353335826691,1,7.072088386852112,1.0,0.0,1.1290427375685692,1,15.716507634806884,1.0,-4.387055843727049
31,DOTUSDT,LDOUSDT,1.288087868344083,0.08714100461344243,0.01352217692746475,0,0.0,0.0,-7.467576441155631,-1.3493652319216578,1,2.402824987949473,1.0,-9.965200142032797
32,DOTUSDT,MATICUSDT,3.6477324467833214,0.07150804117474259,0.016387699768108045,1,1.3452021639044023,1.0,-4.996949004952079,-1.4217990328472845,0,0.0,0.0,-14.793958423469475
27,XLMUSDT,SOLUSDT,0.0068324748067816335,0.012637481297546348,0.0004959121379864991,0,0.0,0.0,0.0,0.12019386408332358,0,0.0,0.0,-4.3719396984812775
26,XLMUSDT,ETCUSDT,0.018993861731191528,0.012092296961590055,0.019162301992448384,0,0.0,0.0,-2.5056117084976597,0.16729035523103108,0,0.0,0.0,-23.674491599544734
25,1000SHIBUSDT,TOMOUSDT,0.002491883597638349,0.00015396603853252118,0.023933738327460225,0,0.0,0.0,-70.44753394173713,-0.4473071005191231,0,0.0,0.0,-3.887883300473843
33,DYDXUSDT,INJUSDT,0.09587862778074832,0.04460918322611001,0.005722915256076071,1,24.34914935899513,1.0,-15.738284449308022,-0.46255209693773114,0,0.0,0.0,-4.217668242227389
23,SNXUSDT,APEUSDT,1.3333926897244834,0.10707158102296982,0.01427170490245836,1,20.25911755711275,1.0,-32.32165647174497,-0.7357161823769361,0,0.0,0.0,-0.5083801252265556
22,SNXUSDT,MATICUSDT,4.3351311991059545,0.13347159713596687,0.019494728711371506,0,0.0,0.0,-12.990288147158758,-1.3881828701488204,0,0.0,0.0,-2.4474178444046606
21,SNXUSDT,AVAXUSDT,0.28729336413249373,0.16366794593062398,0.02876938462937466,1,-2.080363198018758,0.0,-51.186559119282315,-1.116285269190174,0,0.0,0.0,-1.019289111812169
20,SNXUSDT,FTMUSDT,14.454194735957815,0.15178538226741473,0.012085556376388652,0,0.0,0.0,-21.051674199937537,-1.85763934373687,0,0.0,0.0,-62.423482651117816
19,HBARUSDT,ADAUSDT,0.2549191039302962,0.0010422627596861922,0.02872031936191545,1,-4.7919940416217015,0.0,-13.9624786707247,0.12320340218873801,0,0.0,0.0,-33.911778867270726
