,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
8,SNXUSDT,KNCUSDT,4.052703260631095,0.20549622745371995,0.023610452972222744,1,5.668057818489737,1.0,-15.590086155792399,-2.832963638101839,0,0.0,0.0,-4.5406658122836845
11,DOGEUSDT,KNCUSDT,0.02885288398411049,0.0012211014402713374,0.029289417891587847,1,15.452044586713622,1.0,-13.978763080865102,-3.749177653008129,0,0.0,0.0,-2.729953998153375
12,AVAXUSDT,AAVEUSDT,0.05385112541120232,0.05604910112279187,0.0001026607437400684,1,15.32625115159297,1.0,-2.8235746262236674,0.9034950601002747,1,4.69577011008407,1.0,-4.043618170773453
