,sym_1,sym_2,min_trading_qty_symbol_1,min_trading_qty_symbol_2,estimated_trade_qty_symbol_1,estimated_trade_qty_symbol_2,estimated_trade_value_symbol_1,estimated_trade_value_symbol_2,std,each_z_score_revenue,p_value,hedge_ratio,initial_intercept,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,recent_trade_qty,peak_loss_performace,recent_z_score
47,LDOUSDT,EOSUSDT,1.0,0.1,23.467115489254706,59.2577182676131,45.556711299290164,44.44328870070983,0.04394263546564012,1.0312069013743963,0.021262571181712205,2.5251385622892792,0.0626046157685078,1,0.9091939694901595,1.0,23.515709433449572,-1.4645795344000123,1.3729978856525507
0,SNXUSDT,DOTUSDT,0.1,0.1,11.674094485904288,10.93110670449868,32.69913865501791,57.30086134498208,0.09977237787108142,1.1647521663503506,0.013088136716630587,0.9363558533552458,-2.085727697768731,0,0.0,0.0,11.690292048043618,-1.5056686459661681,-1.7258952921530843
44,DOTUSDT,AVAXUSDT,0.1,1.0,9.197750723438366,3.162423460839855,48.20541154154047,41.79458845845952,0.13195615994803653,1.2136998656242017,0.008823333104973526,0.34382574130663723,0.6833096484769512,0,0.0,0.0,9.207338081630668,-1.8494130090531884,0.9335657184007096
32,ATOMUSDT,MASKUSDT,0.01,1.0,6.7335047129447485,8.297751651272058,60.56787489293801,29.432125107061992,0.11714713502342684,0.7888107857882195,0.02627276486092832,1.2323079889318471,4.583657984945736,0,0.0,0.0,6.739448345189578,-4.772041445634483,1.3426515008057307
33,ATOMUSDT,EOSUSDT,0.01,0.1,5.357512150659581,55.74557093975609,48.19082179518293,41.80917820481707,0.09044603051501954,0.48456570746314437,0.009472922727231171,10.405122633812987,1.239401129956629,0,0.0,0.0,5.359874845099356,-0.41525349603349404,-1.969684359400669
34,ATOMUSDT,GMTUSDT,0.01,1.0,6.287756784091411,156.41547112767896,56.55837227290224,33.44162772709776,0.27432054393534616,1.7248608611451188,0.0015227251020647266,24.87619615367823,3.701980468159644,0,0.0,0.0,6.290811526546073,-0.9983338451049921,-1.2722385031501486
35,DOTUSDT,NEARUSDT,0.1,1.0,11.166347819390428,22.44365530011082,58.53399526924462,31.466004730755365,0.1047250073760298,1.1693958577489767,0.0039197238956444206,2.0099369698243934,2.4646989658086302,0,0.0,0.0,11.17885808564694,-1.3410980825165766,1.841104146736794
36,DOTUSDT,APTUSDT,0.1,0.1,11.763749471291856,4.008228085542898,61.665574728511906,28.346189020959375,0.09971848822423807,1.1730633131259036,0.00014795400393165126,0.3407270866592782,2.824006331449647,0,0.0,0.0,11.775150077230656,-0.5883935342881907,-1.0772762272402374
37,DOTUSDT,GALAUSDT,0.1,1.0,13.157986898234423,896.4205652472684,68.9610093336466,21.038990666353392,0.09021761071157021,1.1870821397328544,0.01957381520902231,68.12748577577264,3.5957260723118063,0,0.0,0.0,13.166998414369017,-4.074411436244142,0.820089146010209
38,DOTUSDT,ETHUSDT,0.1,0.001,5.1894449006368975,0.033553697073640414,27.19788072423798,62.802119275762024,0.12946810866529454,0.6718676163082165,0.01991719706827997,0.006465758422355037,-6.803216914822551,0,0.0,0.0,5.195020261896305,-0.3612415912675071,0.8650983805627226
39,DOTUSDT,XRPUSDT,0.1,0.1,11.500556282069443,41.89652505380417,60.27441547432595,29.72558452567406,0.13731016203899032,1.5791432466294832,0.005859946779576464,3.642999871156249,2.6469134355542185,0,0.0,0.0,11.517165990176467,0.0,-0.4703320106041868
40,DOTUSDT,OPUSDT,0.1,0.1,11.100488150969909,21.161285809793,58.17765839923329,31.822341600766713,0.08857562709175162,0.9832326989967182,0.015882523126505874,1.9063383089097776,2.40157818505833,0,0.0,0.0,11.115380609730899,0.0,0.8916697639971345
41,DOTUSDT,MASKUSDT,0.1,1.0,12.20726045946284,7.336269504357274,63.978252068044746,26.02174793195525,0.07341638542719567,0.8962129389020896,0.0020934172133627704,0.6009759133688619,3.0797148213195342,0,0.0,0.0,12.2258524866598,-3.629471223148136,1.3382179548566655
42,DOTUSDT,EOSUSDT,0.1,0.1,9.775909678073827,51.68594316962008,51.235542622784926,38.76445737721506,0.06291434804292376,0.6150449839225235,0.0009292793341865191,5.287072494700452,1.2877020101951064,0,0.0,0.0,9.78578131133654,-0.5933864756434637,2.155164288133596
43,DOTUSDT,MTLUSDT,0.1,1.0,11.456436876328572,22.154129811538198,60.04318566883804,29.95681433116195,0.09363816970085063,1.072759780392738,0.02144605622292422,1.9337713855267973,2.711632049354396,0,0.0,0.0,11.480651814999343,-2.7444662079885527,1.547344001491298
45,DOTUSDT,GMTUSDT,0.1,1.0,11.280187767391334,144.43655711460255,59.11946408889798,30.880535911102022,0.20238661739053257,2.2829590457723956,0.010543672455735061,12.804446175278967,2.503206687454845,0,0.0,0.0,11.293098963396915,-1.3844029177178525,1.1521920962818537
1,TOMOUSDT,KNCUSDT,1.0,1.0,44.4309232699389,34.36653568354603,63.19410216683409,26.805897833165908,0.04478674844472359,1.9899165836575694,0.011502381092265137,0.7734823666560574,0.7724577999838369,0,0.0,0.0,44.32102630334624,-9.176915183922665,0.22049237225451299
46,LDOUSDT,GALAUSDT,1.0,1.0,32.63310048454857,1135.464935208601,63.35063797065414,26.649362029345866,0.03394518895483128,1.1077367621299974,0.0007599781305473401,34.79488367175628,1.1087369478523508,0,0.0,0.0,32.70125476541501,-0.29768898528781457,-1.5910535557405008
