,sym_1,sym_2,min_trading_qty_symbol_1,min_trading_qty_symbol_2,estimated_trade_qty_symbol_1,estimated_trade_qty_symbol_2,estimated_trade_value_symbol_1,estimated_trade_value_symbol_2,std,each_z_score_revenue,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_returns,win_rate,recent_trade_qty,peak_loss,recent_z_score
25,EOSUSDT,GMTUSDT,0.1,1.0,410.9170314999996,6.235390014844328,313.5296950344997,1.469681426498808,0.010630496552341764,4.368252086659258,0.014794938684577486,0.015174328482036486,0.7612196111060112,15,212.04305067100051,1.0,410.91784490730976,-41.57041946966224,1.3441442067021598
16,EOSUSDT,MKRUSDT,0.1,0.001,397.40770836525195,0.011890881895318282,303.22208148268726,11.777918517312758,0.010793165337375284,4.289287102733583,0.01359357613820792,2.992111538105732e-05,0.736735264067055,15,210.01821644783615,0.9333333333333333,397.4257111926575,-40.11691476623582,1.3144057838574026
11,EOSUSDT,XLMUSDT,0.1,1.0,404.9098708062009,37.30906307696731,308.9462314251313,6.053768574868716,0.010607336131915503,4.2950151027718535,0.017350626429999495,0.09214164871476863,0.7528415886126074,15,207.54453731797426,1.0,404.8854136421608,-40.711498074403465,0.8404972428020249
23,EOSUSDT,1INCHUSDT,0.1,1.0,406.8235575509738,13.43558230069312,310.406374411393,4.593625588606978,0.010717842503519134,4.36027081655269,0.011754188688316366,0.03302557595625391,0.7518592961068982,15,205.49551584847072,0.9333333333333333,406.82702800050834,-40.84953909345985,1.4063485972078806
10,EOSUSDT,LINKUSDT,0.1,0.01,371.0752242195816,4.563230801898513,283.1303960795408,31.869603920459213,0.010328974913007332,3.8328266818026293,0.021928710283076257,0.012297320068984846,0.6804725800962294,15,191.66514587095998,0.9333333333333333,371.08059985902054,-36.59210995963577,1.0234957384245935
14,EOSUSDT,COMPUSDT,0.1,0.001,348.3566457034607,0.6904838524875031,265.7961206717405,49.217689005309225,0.009895882642479845,3.4472964836093776,0.0015934057476977722,0.0019821176400787797,0.6174818320957018,18,183.93809457226067,1.0,348.37191841357657,-30.498549500560273,1.403794626234554
29,EOSUSDT,LDOUSDT,0.1,1.0,361.8446487199355,18.61576473553521,276.08746697331077,38.93114879142478,0.008028124637555707,2.904933939356204,0.0038822540314818565,0.05144684273041065,0.6544128522467048,15,173.32364037688035,0.9333333333333333,361.8318186703922,-33.122563694552866,0.6950475850781829
30,EOSUSDT,APTUSDT,0.1,0.1,375.6084293983083,3.730895386617303,286.58923163090924,28.410768369090764,0.01066111364435535,4.004404151593188,0.02027972017347171,0.00993293838637719,0.6896719829269883,15,167.42014169267938,0.8666666666666667,375.6039807025661,-36.89968582813455,1.1871727358904844
27,EOSUSDT,OPUSDT,0.1,0.1,371.8865619890779,19.60757510499032,283.74944679766645,31.250553202333577,0.010339133454571468,3.8449847943668414,0.03041149128822549,0.052724613118895605,0.6870773283904321,15,164.7467089553536,0.8666666666666667,371.91202713925264,-37.66351445213767,0.20906503188902598
18,EOSUSDT,SOLUSDT,0.1,1.0,330.24831263696717,2.3610271788548634,251.97946254200596,63.0158154036363,0.007366307180288751,2.4327105166559355,0.006375195242422824,0.007149248273223655,0.5729284143809095,17,131.95684716322458,0.9411764705882353,330.31268345538666,-29.83597168849952,0.6628779231456169
17,EOSUSDT,SNXUSDT,0.1,0.1,336.2697916154977,20.95629447538567,256.57385100262474,58.426148997375236,0.00969146339298645,3.2589463756087778,0.013451262530121298,0.062319884205798086,0.5968099527728077,15,124.50016002895042,0.8666666666666667,336.3593007527181,-27.96821650860415,1.1308178979674852
24,EOSUSDT,DYDXUSDT,0.1,0.1,332.5148743313546,28.897289431954945,253.70884911482355,61.29115088517644,0.009764820315057262,3.2469479999295237,0.02281775054779456,0.08690525345689797,0.5838697467373003,16,123.42699166530463,0.875,332.5453811889085,-30.674939751054566,0.05105499047163331
26,EOSUSDT,APEUSDT,0.1,1.0,335.2316502659942,28.580236895292664,255.78174915295355,59.2182508470464,0.00958206180084464,3.2122103904478925,0.028654249081630532,0.08525518659295828,0.5915770634107045,13,118.53675954683709,0.9230769230769231,335.262068898855,-29.89332712377426,1.4613735349375183
33,ETCUSDT,COMPUSDT,0.01,0.001,14.515175553381463,0.5648826775693753,274.75775804995766,40.24224195004229,0.20778643882437897,3.0160566371478184,0.029170983328831702,0.038916696218515935,16.070281747531876,18,117.88145450483853,0.8333333333333334,14.516513393002556,-17.833660087243505,1.5544001995395749
12,EOSUSDT,ADAUSDT,0.1,1.0,298.98008870961354,274.5834143949586,228.12180768543513,86.8781923145649,0.0076086156236541014,2.2748245741174546,0.012727537557534757,0.9184003375611064,0.47530490234825057,14,117.64033381025993,0.8571428571428571,298.92797400246445,-23.956434621535838,1.0451429873488822
19,EOSUSDT,AVAXUSDT,0.1,1.0,305.4425641637134,5.80486814075842,233.05267645691336,81.94732354308663,0.007049159338833788,2.153113303651979,0.005063885558598965,0.019004778055906717,0.49299597026898134,13,105.26433669268756,0.7692307692307693,305.5213868910505,-27.086787271017876,0.721682851510232
13,EOSUSDT,BNBUSDT,0.1,0.01,249.16588489757103,0.514889424131739,190.1135701768467,124.90702540011857,0.006899357021851425,1.7190843975738808,0.0010428820596379922,0.002066452332924323,0.2600692242195271,14,102.54892218322343,0.9285714285714286,249.19847147724684,-19.679781114481088,1.3232587545212504
